,seqNum,date,time,askPrice5,askPrice4,askPrice3,askPrice2,askPrice1,bidPrice1,bidPrice2,bidPrice3,bidPrice4,bidPrice5,askSize5,askSize4,askSize3,askSize2,askSize1,bidSize1,bidSize2,bidSize3,bidSize4,bidSize5,deriveFlag,deriveBuyPrice,deriveSellPrice,deriveBuyQty,deriveSellQty
0,2849,2019-04-01,84500084,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,39,69,70,72,44,54,65,55,53,1,0,0,0,0
1,3385,2019-04-01,84500108,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,39,69,70,72,44,54,65,55,53,1,0,24850,0,18
2,4058,2019-04-01,84500940,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,39,69,70,67,44,54,65,55,53,1,0,24850,0,18
3,4153,2019-04-01,84501190,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,39,69,70,67,44,54,65,55,53,1,0,24850,0,18
4,4284,2019-04-01,84501440,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,39,74,70,68,48,51,65,55,53,1,0,24850,0,18
5,4481,2019-04-01,84501940,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,39,79,70,68,48,51,65,55,53,1,0,24850,0,12
6,4576,2019-04-01,84502315,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,39,84,70,68,48,51,65,55,53,1,0,24850,0,12
7,4635,2019-04-01,84502565,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,39,84,70,68,48,51,65,55,53,1,0,24850,0,12
8,4663,2019-04-01,84502690,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,39,89,70,68,48,51,65,55,53,1,0,24850,0,12
9,4739,2019-04-01,84503065,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,39,94,70,68,48,51,65,55,53,1,0,24850,0,12
10,4875,2019-04-01,84503815,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,39,69,70,68,48,51,65,55,53,1,0,24850,0,12
11,4989,2019-04-01,84504315,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,39,69,70,68,48,51,65,55,53,1,0,24850,0,12
12,5467,2019-04-01,84506315,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,39,69,70,68,48,51,65,55,53,1,0,24850,0,12
13,5495,2019-04-01,84506440,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,39,69,70,68,68,51,65,55,53,1,0,24850,0,12
14,5580,2019-04-01,84506815,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,39,69,70,68,68,71,65,55,53,1,0,24850,0,12
15,5624,2019-04-01,84507065,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,39,69,70,68,68,71,65,55,53,1,0,24850,0,18
16,5730,2019-04-01,84507690,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,39,69,70,68,68,71,65,55,53,1,0,24850,0,24
17,5853,2019-04-01,84508440,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,39,69,69,68,68,71,65,55,53,1,0,24850,0,24
18,5981,2019-04-01,84509315,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,39,69,69,68,74,71,65,55,53,1,0,24850,0,24
19,6027,2019-04-01,84509565,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,39,69,69,68,74,74,65,55,53,1,0,24850,0,24
20,6119,2019-04-01,84510065,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,39,69,69,68,74,74,65,55,53,1,0,24850,0,24
21,6541,2019-04-01,84512565,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,44,69,69,68,74,74,65,55,53,1,0,24850,0,24
22,6597,2019-04-01,84512940,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,49,69,69,68,74,74,65,55,53,1,0,24850,0,24
23,6613,2019-04-01,84513065,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,49,69,69,68,74,74,65,55,52,1,0,24850,0,24
24,6645,2019-04-01,84513315,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,54,69,69,68,74,74,65,55,52,1,0,24850,0,24
25,6682,2019-04-01,84513565,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,54,69,69,68,74,74,65,55,52,1,24650,24850,1,24
26,6710,2019-04-01,84513690,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,59,69,69,68,74,74,65,55,52,1,24650,24850,1,24
27,6738,2019-04-01,84513815,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,59,69,69,68,74,74,65,55,52,1,24650,24850,1,24
28,6776,2019-04-01,84514065,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,64,69,69,68,74,74,65,55,52,1,24650,24850,1,24
29,6811,2019-04-01,84514315,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,65,69,69,68,74,74,65,55,52,1,24650,24850,1,24
30,6908,2019-04-01,84514940,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,45,69,69,68,74,74,65,55,52,1,24650,24850,1,24
